Date	NVDAClose	Date	VGTClose
12/29/2023	49.522	12/29/2023	484
12/28/2023	49.522	12/28/2023	486.79
12/27/2023	49.417	12/27/2023	486.47
12/26/2023	49.279	12/26/2023	486
12/22/2023	48.83	12/22/2023	483.61
12/21/2023	48.99	12/21/2023	483.14
12/20/2023	48.111	12/20/2023	477.22
12/19/2023	49.604	12/19/2023	485
12/18/2023	50.077	12/18/2023	483.33
12/15/2023	48.89	12/15/2023	482.22
12/14/2023	48.35	12/14/2023	479.91
12/13/2023	48.088	12/13/2023	478.98
12/12/2023	47.657	12/12/2023	473.51
12/11/2023	46.627	12/11/2023	470.7
12/08/2023	47.506	12/08/2023	467.48
12/07/2023	46.596	12/07/2023	463.34
12/06/2023	45.503	12/06/2023	458.39
12/05/2023	46.566	12/05/2023	462.41
12/04/2023	45.51	12/04/2023	459.92
12/01/2023	46.765	12/01/2023	464.65
11/30/2023	46.77	11/30/2023	462.03
11/29/2023	48.14	11/29/2023	462.16
11/28/2023	47.821	11/28/2023	460.37
11/27/2023	48.242	11/27/2023	459.52
11/24/2023	47.776	11/24/2023	459.76
11/22/2023	48.716	11/22/2023	460.26
11/21/2023	49.944	11/21/2023	458.58
11/20/2023	50.409	11/20/2023	462.42
11/17/2023	49.298	11/17/2023	455.99
11/16/2023	49.48	11/16/2023	455.79
11/15/2023	48.888	11/15/2023	454.78
11/14/2023	49.656	11/14/2023	454.19
11/13/2023	48.62	11/13/2023	443.46
11/10/2023	48.335	11/10/2023	445.69
11/09/2023	46.95	11/09/2023	434.22
11/08/2023	46.574	11/08/2023	436.84
11/07/2023	45.955	11/07/2023	435.03
11/06/2023	45.751	11/06/2023	429.82
11/03/2023	45.005	11/03/2023	427.88
11/02/2023	43.506	11/02/2023	421.88
11/01/2023	42.325	11/01/2023	414.49
10/31/2023	40.78	10/31/2023	407.8
10/30/2023	41.161	10/30/2023	404.75
10/27/2023	40.50	10/27/2023	401.22
10/26/2023	40.326	10/26/2023	399.56
10/25/2023	41.779	10/25/2023	406.76
10/24/2023	43.663	10/24/2023	413.59
10/23/2023	42.975	10/23/2023	409.95
10/20/2023	41.387	10/20/2023	409.88
10/19/2023	42.101	10/19/2023	417.24
10/18/2023	42.196	10/18/2023	420.23
10/17/2023	43.938	10/17/2023	426.07
10/16/2023	46.095	10/16/2023	427.9
10/13/2023	45.461	10/13/2023	423.04
10/12/2023	46.945	10/12/2023	429.93
10/11/2023	46.806	10/11/2023	430.95
10/10/2023	45.798	10/10/2023	427.56
10/09/2023	45.273	10/09/2023	426.15
10/06/2023	45.762	10/06/2023	424.2
10/05/2023	44.688	10/05/2023	415.86
10/04/2023	44.041	10/04/2023	415.5
10/03/2023	43.517	10/03/2023	410.76
10/02/2023	44.782	10/02/2023	418.72
09/29/2023	43.499	09/29/2023	414.9
09/28/2023	43.089	09/28/2023	413.27
09/27/2023	42.468	09/27/2023	410.66
09/26/2023	41.911	09/26/2023	409.4
09/25/2023	42.222	09/25/2023	416.84
09/22/2023	41.61	09/22/2023	415.19
09/21/2023	41.017	09/21/2023	414.04
09/20/2023	42.239	09/20/2023	421.02
09/19/2023	43.52	09/19/2023	427.31
09/18/2023	43.966	09/18/2023	428.07
09/15/2023	43.90	09/15/2023	426.34
09/14/2023	45.581	09/14/2023	434.24
09/13/2023	45.485	09/13/2023	431.22
09/12/2023	44.87	09/12/2023	430.64
09/11/2023	45.178	09/11/2023	438.32
09/08/2023	45.572	09/08/2023	436.25
09/07/2023	46.241	09/07/2023	435.69
09/06/2023	47.061	09/06/2023	442.31
09/05/2023	48.548	09/05/2023	447.43
09/01/2023	48.509	09/01/2023	446.67
08/31/2023	49.355	08/31/2023	444.88
08/30/2023	49.264	08/30/2023	442.66
08/29/2023	48.784	08/29/2023	439.04
08/28/2023	46.835	08/28/2023	430.37
08/25/2023	46.018	08/25/2023	427.09
08/24/2023	47.163	08/24/2023	422.84
08/23/2023	47.116	08/23/2023	432.89
08/22/2023	45.668	08/22/2023	425.17
08/21/2023	46.967	08/21/2023	425.01
08/18/2023	43.299	08/18/2023	417.82
08/17/2023	43.3435	08/17/2023	417.01
08/16/2023	43.486	08/16/2023	421.62
08/15/2023	43.94	08/15/2023	425.65
08/14/2023	43.753	08/14/2023	429.9
08/11/2023	40.855	08/11/2023	423.65
08/10/2023	42.388	08/10/2023	426.45
08/09/2023	42.554	08/09/2023	426.05
08/08/2023	44.664	08/08/2023	432.1
08/07/2023	45.4165	08/07/2023	436.16
08/04/2023	44.68	08/04/2023	435.43
08/03/2023	44.515	08/03/2023	441.19
08/02/2023	44.269	08/02/2023	442.94
08/01/2023	46.507	08/01/2023	455.05
07/31/2023	46.729	07/31/2023	454.81
07/28/2023	46.75	07/28/2023	452.57
07/27/2023	45.90	07/27/2023	446.23
07/26/2023	45.452	07/26/2023	448.29
07/25/2023	45.679	07/25/2023	453.51
07/24/2023	44.612	07/24/2023	448.41
07/21/2023	44.309	07/21/2023	447.9
07/20/2023	45.52	07/20/2023	448.67
07/19/2023	47.077	07/19/2023	458.37
07/18/2023	47.494	07/18/2023	459.58
07/17/2023	46.461	07/17/2023	454.44
07/14/2023	45.469	07/14/2023	448.47
07/13/2023	45.977	07/13/2023	450.08
07/12/2023	43.902	07/12/2023	443.47
07/11/2023	42.405	07/11/2023	438.88
07/10/2023	42.18	07/10/2023	437.23
07/07/2023	42.503	07/07/2023	435.48
07/06/2023	42.103	07/06/2023	436.97
07/05/2023	42.317	07/05/2023	438.67
07/03/2023	42.413	07/03/2023	441.41
06/30/2023	42.302	06/30/2023	442.16
06/29/2023	40.822	06/29/2023	435.3
06/28/2023	41.117	06/28/2023	435.04
06/27/2023	41.876	06/27/2023	433.92
06/26/2023	40.632	06/26/2023	425.32
06/23/2023	42.209	06/23/2023	428.8
06/22/2023	43.025	06/22/2023	433.84
06/21/2023	43.045	06/21/2023	430.3
06/20/2023	43.808	06/20/2023	437
06/16/2023	42.692	06/16/2023	439.56
06/15/2023	42.653	06/15/2023	443.39
06/14/2023	42.997	06/14/2023	437.68
06/13/2023	41.022	06/13/2023	434.09
06/12/2023	39.482	06/12/2023	430.99
06/09/2023	38.77	06/09/2023	422.18
06/08/2023	38.51	06/08/2023	420.43
06/07/2023	37.475	06/07/2023	416.24
06/06/2023	38.654	06/06/2023	422.53
06/05/2023	39.171	06/05/2023	421.83
06/02/2023	39.327	06/02/2023	424.1
06/01/2023	39.77	06/01/2023	421.18
05/31/2023	37.834	05/31/2023	416.88
